gene_id	condition	log2_fold_change	p_value	p_value_corrected
100287102	Experimental	-0.6800778658004855	0.5714285714285714	1.0
653635	Experimental	0.24941619958226705	0.5714285714285714	1.0
102466751	Experimental	0.3683380089170955	0.25	0.8800286071875558
107985730	Experimental	-1.34743848639176	0.07142857142857142	0.5887735877269057
100302278	Experimental	-0.7497364836032115	0.7857142857142857	1.0
645520	Experimental	-0.14086163121548187	1.0	1.0
79501	Experimental	-0.14086163121544035	1.0	1.0
100996442	Experimental	-0.42471709563915966	0.39285714285714285	0.9798038293097833
729737	Experimental	0.1734437675406625	1.0	1.0
102725121	Experimental	1.3774517158807733	0.07142857142857142	0.5887735877269057
102723897	Experimental	-0.21747221882688747	1.0	1.0
102465909	Experimental	0.5860015450965002	0.25	0.8800286071875558
107985721	Experimental	-1.7983225414617792	0.03571428571428571	0.5343257807232763
112268260	Experimental	0.45675600492998814	0.39285714285714285	0.9798038293097833
729759	Experimental	-1.5065486984071184	1.0	1.0
100132287	Experimental	0.24558084344815806	0.7857142857142857	1.0
105378947	Experimental	0.1906416558186306	1.0	1.0
101928626	Experimental	-0.14086163121545078	1.0	1.0
113219467	Experimental	0.44515442685228784	0.7857142857142857	1.0
81399	Experimental	-0.23327095912121107	0.39285714285714285	0.9798038293097833
100133331	Experimental	0.527468884751899	0.25	0.8800286071875558
107984841	Experimental	0.4537335720648331	0.5714285714285714	1.0
107984847	Experimental	0.5604176746185707	0.25	0.8800286071875558
107984849	Experimental	0.7499585054513616	0.14285714285714285	0.731773495140218
100288069	Experimental	0.7140561095691036	0.39285714285714285	0.9798038293097833
105378580	Experimental	0.5595554702283205	0.25	0.8800286071875558
400728	Experimental	-0.3800593823983014	0.25	0.8800286071875558
79854	Experimental	0.3029384985368514	0.5714285714285714	1.0
643837	Experimental	-0.5717773226101617	0.5714285714285714	1.0
107984850	Experimental	-0.14086163121545078	1.0	1.0
284593	Experimental	-0.3021752104551956	0.5714285714285714	1.0
284600	Experimental	-0.8063144053511703	0.5714285714285714	1.0
100130417	Experimental	-1.7255667506979682	0.14285714285714285	0.731773495140218
107985728	Experimental	-0.5204262766406857	0.25	0.8800286071875558
148398	Experimental	0.6036363783458316	0.39285714285714285	0.9798038293097833
26155	Experimental	-1.1547320482321464	0.14285714285714285	0.731773495140218
339451	Experimental	0.4286011474339424	0.5714285714285714	1.0
84069	Experimental	0.6760761629597685	0.7857142857142857	1.0
84808	Experimental	-0.8085834064599307	0.25	0.8800286071875558
57801	Experimental	0.7920128918565562	0.14285714285714285	0.731773495140218
9636	Experimental	-0.12924807540282315	0.7857142857142857	1.0
375790	Experimental	0.39476371762939216	0.7857142857142857	1.0
100288175	Experimental	0.09818108415617886	0.5714285714285714	1.0
112267874	Experimental	0.6994411207777332	0.14285714285714285	0.731773495140218
105378948	Experimental	0.12522396029445626	0.7857142857142857	1.0
401934	Experimental	-0.3228702477363824	0.25	0.8800286071875558
54991	Experimental	0.6352211618503673	0.7857142857142857	1.0
254099	Experimental	-1.4863750323685405	1.0	1.0
406984	Experimental	-0.9649728562207756	0.39285714285714285	0.9798038293097833
406983	Experimental	-2.9739174348097177	0.03571428571428571	0.5343257807232763
554210	Experimental	-0.293909501691115	0.5714285714285714	1.0
100506376	Experimental	0.8628773403155855	0.5714285714285714	1.0
254173	Experimental	-1.0252006245578487	0.03571428571428571	0.5343257807232763
8784	Experimental	-0.9471057629804928	0.7857142857142857	1.0
7293	Experimental	0.17501105709496192	0.5714285714285714	1.0
51150	Experimental	0.8808512497019526	0.5485954657999336	1.0
126792	Experimental	0.4685280228800361	0.5714285714285714	1.0
388581	Experimental	0.8029674665433211	0.07142857142857142	0.5887735877269057
118424	Experimental	-1.372747054555629	0.14285714285714285	0.731773495140218
101928895	Experimental	0.25471254458471904	0.39285714285714285	0.9798038293097833
6339	Experimental	0.87328649999751	0.07142857142857142	0.5887735877269057
116983	Experimental	0.3219239377993902	0.5714285714285714	1.0
