gene_id	condition	log2fold_change	p_value	p_value_corrected	base_mean
100506124	Experimental	0.5307462920677907	1.5285248594850312e-05	0.001070565497074531	1.0333333333333334
100507056	Experimental	0.53074629206779	1.528524859485032e-05	0.001070565497074531	1.0333333333333334
105378853	Experimental	0.9656710600171095	1.2422162132118577e-05	0.001070565497074531	1.066666666666667
105379882	Experimental	1.8713701436898298	2.511128550154824e-05	0.001070565497074531	2.3666666666666676
552853	Experimental	0.019908578674763817	1.9834091960530425e-05	0.001070565497074531	1.0333333333333334
107986982	Experimental	0.5702810970999622	2.445454284651032e-05	0.001070565497074531	1.3333333333333337
105375784	Experimental	2.588203445430318	2.3990406999247017e-05	0.001070565497074531	3.366666666666667
105372793	Experimental	1.0737556839234075	2.640818060414312e-05	0.001070565497074531	1.7000000000000004
105373677	Experimental	0.0199085786747635	1.983409196053043e-05	0.001070565497074531	1.0333333333333337
100130460	Experimental	0.43007179372586263	2.7738082368720966e-05	0.001070565497074531	1.3666666666666671
100422974	Experimental	0.0199085786747635	1.983409196053043e-05	0.001070565497074531	1.0333333333333337
105369295	Experimental	0.5307462920677907	1.5285248594850312e-05	0.001070565497074531	1.0333333333333334
105375750	Experimental	0.5307462920677907	1.5285248594850312e-05	0.001070565497074531	1.0333333333333334
